seed,kernel,knob,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,n_restarts,optimizer,lr_schedule,batch_size
0,gabor,250.5592973412137,16.0,16.05157496443535,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.2,1600,1,6796,0.0,0.5006250143051147,24,21.865423550438262,2.0,2,adam,cosine,16
1,gabor,250.5592973412137,16.0,16.05157496443535,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.2,1600,1,7703,0.0,0.5006250143051147,24,21.865423550438262,2.0,2,adam,cosine,16
2,gabor,250.5592973412137,16.0,16.05157496443535,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.2,1600,1,6620,0.0,0.5006250143051147,24,21.865423550438262,2.0,2,adam,cosine,16
3,gabor,250.5592973412137,16.0,16.05157496443535,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.2,1600,1,6511,0.0,0.5006250143051147,24,21.865423550438262,2.0,2,adam,cosine,16
4,gabor,250.5592973412137,16.0,16.05157496443535,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.2,1600,1,6295,0.0,0.5006250143051147,24,21.865423550438262,2.0,2,adam,cosine,16
5,gabor,250.5592973412137,16.0,16.05157496443535,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.2,1600,1,6775,0.0,0.5006250143051147,24,21.865423550438262,2.0,2,adam,cosine,16
6,gabor,250.5592973412137,16.0,16.05157496443535,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.2,1600,1,7159,0.0,0.5006250143051147,24,21.865423550438262,2.0,2,adam,cosine,16
7,gabor,250.5592973412137,16.0,16.05157496443535,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.2,1600,1,6782,0.0,0.5006250143051147,24,21.865423550438262,2.0,2,adam,cosine,16
0,gabor,250.5592973412137,16.0,16.395186660921734,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.4,1700,0,-1,0.030588233843445778,0.5005882382392883,24,21.865423550438262,2.0,2,adam,cosine,16
1,gabor,250.5592973412137,16.0,16.395186660921734,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.4,1700,0,-1,0.002352941082790494,0.5005882382392883,24,21.865423550438262,2.0,2,adam,cosine,16
2,gabor,250.5592973412137,16.0,16.395186660921734,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.4,1700,0,-1,0.032941173762083054,0.5005882382392883,24,21.865423550438262,2.0,2,adam,cosine,16
3,gabor,250.5592973412137,16.0,16.395186660921734,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.4,1700,0,-1,0.012941176071763039,0.5005882382392883,24,21.865423550438262,2.0,2,adam,cosine,16
4,gabor,250.5592973412137,16.0,16.395186660921734,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.4,1700,0,-1,0.012941176071763039,0.5005882382392883,24,21.865423550438262,2.0,2,adam,cosine,16
5,gabor,250.5592973412137,16.0,16.395186660921734,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.4,1700,1,6591,0.02235293947160244,0.5005882382392883,24,21.865423550438262,2.0,2,adam,cosine,16
6,gabor,250.5592973412137,16.0,16.395186660921734,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.4,1700,0,-1,0.020588234066963196,0.5005882382392883,24,21.865423550438262,2.0,2,adam,cosine,16
7,gabor,250.5592973412137,16.0,16.395186660921734,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.4,1700,1,7459,0.0,0.5005882382392883,24,21.865423550438262,2.0,2,adam,cosine,16
0,gabor,250.5592973412137,16.0,16.542448816558757,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.6,1800,0,-1,0.08222222328186035,0.5005555748939514,24,21.865423550438262,2.0,2,adam,cosine,16
1,gabor,250.5592973412137,16.0,16.542448816558757,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.6,1800,0,-1,0.08777777850627899,0.5005555748939514,24,21.865423550438262,2.0,2,adam,cosine,16
2,gabor,250.5592973412137,16.0,16.542448816558757,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.6,1800,0,-1,0.057777777314186096,0.5005555748939514,24,21.865423550438262,2.0,2,adam,cosine,16
3,gabor,250.5592973412137,16.0,16.542448816558757,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.6,1800,0,-1,0.07611111551523209,0.5005555748939514,24,21.865423550438262,2.0,2,adam,cosine,16
4,gabor,250.5592973412137,16.0,16.542448816558757,16.00102791515116,5.07144477827525,1.0375745603960491,8.0,500,3.6,1800,0,-1,0.04055555537343025,0.5005555748939514,24,21.865423550438262,2.0,2,adam,cosine,16
