seed,kernel,knob,width,Keff_target,Keff_measured,Keff_rice,D_PR,kappa_S,Q,N,alpha,P,solved,epochs_to_solve,final_train_err,init_fire_rate,n_grid,dt,mean_spikes,restart_overlap,n_restarts,optimizer,lr_schedule,batch_size,_shard_status
0,gauss,22.094882025527312,22.094882025527312,16.0,16.444274046134073,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,1.8,900,1,90,0.0,0.5011110901832581,30,17.35327976333244,0.8,0.14127838090062142,5,adam,cosine,16,timed_out
0,gauss,22.094882025527312,22.094882025527312,16.0,17.62237129123024,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.0,1000,1,172,0.0,0.5009999871253967,30,17.35327976333244,0.8,0.0896858550608158,5,adam,cosine,16,timed_out
0,gauss,22.094882025527312,22.094882025527312,16.0,15.904312808798327,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.2,1100,1,172,0.0,0.5009090900421143,30,17.35327976333244,0.8,0.19455139413475991,5,adam,cosine,16,timed_out
0,gauss,22.094882025527312,22.094882025527312,16.0,15.364351571462581,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.4,1200,1,434,0.0,0.5008333325386047,30,17.35327976333244,0.8,0.19296772070229054,5,adam,cosine,16,timed_out
0,gauss,22.094882025527312,22.094882025527312,16.0,15.707963267948967,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.6,1300,1,1085,0.0,0.5007692575454712,30,17.35327976333244,0.8,0.19045482824246088,5,adam,cosine,16,timed_out
0,gauss,22.094882025527312,22.094882025527312,16.0,15.560701112311945,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,2.8,1400,1,932,0.0,0.5007143020629883,30,17.35327976333244,0.8,0.22709164023399353,5,adam,cosine,16,timed_out
0,gauss,22.094882025527312,22.094882025527312,16.0,17.18058482431918,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.0,1500,0,-1,0.006000000052154064,0.5006666779518127,30,17.35327976333244,0.8,nan,5,adam,cosine,16,timed_out
0,gauss,22.094882025527312,22.094882025527312,16.0,16.29701189049705,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.2,1600,0,-1,0.04500000178813934,0.5006250143051147,30,17.35327976333244,0.8,nan,5,adam,cosine,16,timed_out
0,gauss,22.094882025527312,22.094882025527312,16.0,17.18058482431918,16.001628696747346,4.051525829863775,3.0000722381882023,nan,500,3.4,1700,0,-1,0.06352940946817398,0.5005882382392883,30,17.35327976333244,0.8,nan,5,adam,cosine,16,timed_out
0,gauss,11.049013821512121,11.049013821512121,32.0,32.054062543658354,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,1.8,900,1,83,0.0,0.5011110901832581,59,8.677875162768641,1.6,0.061300087813287975,5,adam,cosine,16,timed_out
0,gauss,11.049013821512121,11.049013821512121,32.0,30.43417883165112,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.0,1000,1,101,0.0,0.5009999871253967,59,8.677875162768641,1.6,0.07303693685680628,5,adam,cosine,16,timed_out
0,gauss,11.049013821512121,11.049013821512121,32.0,32.5940237809941,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.2,1100,1,156,0.0,0.5009090900421143,59,8.677875162768641,1.6,0.0933285892009735,5,adam,cosine,16,timed_out
0,gauss,11.049013821512121,11.049013821512121,32.0,32.5940237809941,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.4,1200,1,312,0.0,0.5008333325386047,59,8.677875162768641,1.6,0.10232803635299206,5,adam,cosine,16,timed_out
0,gauss,11.049013821512121,11.049013821512121,32.0,32.98672286269283,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.6,1300,1,524,0.0,0.5007692575454712,59,8.677875162768641,1.6,0.06569692296907306,5,adam,cosine,16,timed_out
0,gauss,11.049013821512121,11.049013821512121,32.0,32.98672286269283,31.998710890509145,8.120512295402854,3.0000868114552417,nan,500,2.8,1400,1,858,0.0,0.5007143020629883,59,8.677875162768641,1.6,0.08171912593146165,5,adam,cosine,16,timed_out
